time,incoming_signal,delayed_response,delay_tau,temporal_boundary_error,rolling_tbe,recovery_pressure,temporal_state,state_numeric
158,0.732731449204376,0.5574231221016822,15,0.17530832710269384,0.8506730721692819,1.5595672989770168,synchronized,1
159,1.0872245523401685,0.46690985216432485,15,0.6203147001758436,0.7684271357909964,1.4087830822834935,synchronized,1
160,1.148452147623505,0.3742101661690587,15,0.7742419814544463,0.7023900050658514,1.2877150092873944,synchronized,1
161,1.4591362254797304,0.25313201091422083,15,1.2060042145655097,0.6861881676018008,1.2580116406033015,synchronized,1
162,1.630447131628372,0.15021557894760867,16,1.4802315526807632,0.7036660981253073,1.3291470742366915,synchronized,1
163,1.5804954352123917,0.048454571516928224,16,1.5320408636954634,0.7516636945164316,1.4198092007532597,synchronized,1
164,1.7946879677036853,-0.023816175479286036,16,1.8185041431829714,0.8490814690737339,1.6038205526948308,synchronized,1
165,1.782934334262187,-0.09002720382063731,16,1.8729615380828244,0.9673466361792051,1.8272103127829429,drifting,2
166,1.8081073251918178,-0.14630657791078588,17,1.9544139031026038,1.145047433619605,2.22648112092701,drifting,2
167,1.847553041503135,-0.19080942063394674,17,2.0383624621370817,1.34723836861802,2.6196301612017057,desynchronized,3
168,1.5931352052462122,-0.21768439006993318,17,1.8108195953161454,1.5107894954393652,2.937646241132099,desynchronized,3
169,1.436822253056145,-0.2374373851002843,17,1.6742596381564292,1.616183989237424,3.1425799790727686,desynchronized,3
170,1.282921531749982,-0.25422743087608274,18,1.5371489626260648,1.6924746873545857,3.3849493747091715,desynchronized,3
171,1.124686546159427,-0.2370603870534773,18,1.3617469332129044,1.7080489592193253,3.4160979184386506,desynchronized,3
172,1.0057004582952815,-0.19689171598273128,18,1.2025921742780128,1.6802850213790503,3.3605700427581007,desynchronized,3
173,0.85482412326838,-0.14653582240009774,18,1.0013599456684776,1.6272169295763514,3.254433859152703,desynchronized,3
174,0.6670236659926271,-0.04205403595072915,18,0.7090777019433563,1.51627428545239,3.03254857090478,desynchronized,3
175,0.5379919904267307,0.062051185102806404,18,0.47594080532392435,1.3765722121765,2.753144424353,desynchronized,3
176,0.3168567021359672,0.16265322471804183,18,0.1542034774179254,1.1965511696080322,2.3931023392160644,drifting,2
177,0.29998605052766897,0.30133892386136085,18,0.0013528733336918841,0.9928502107276932,1.9857004214553864,drifting,2
178,0.060170044648007424,0.4284059074256824,18,0.368235862777675,0.8485918374738463,1.6971836749476925,synchronized,1
179,0.231026687042209,0.5830154551337896,18,0.35198876809158064,0.7163647504673614,1.4327295009347227,synchronized,1
