t,stability_S,energy_margin_E,raw_risk,risk_control_R,goal_alignment_G,correction_cost_C,variance_V,uncertainty_U,weight_stability_Ws,weight_energy_We,weight_risk_Wr,weight_goal_Wg,mission_control_score,control_state,control_action,control_state_number
142,0.30202062812373287,0.4862222224754356,0.5402537352559181,0.45974626474408187,0.6466767280979148,0.6557041012809284,0.20417400181079398,0.6505325642771203,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.17947913359926793,recover,recovery_maneuver,1
143,0.3353476215495571,0.5089060680607637,0.5407318302815569,0.4592681697184431,0.6483620223907202,0.6030894761944734,0.2128937770081042,0.6502685730020452,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.1886437383823249,recover,recovery_maneuver,1
144,0.32621937185625827,0.49851750810691287,0.5602514078890285,0.4397485921109715,0.5975715224330508,0.6352643799203863,0.2092892404817419,0.6660962499435197,0.28301886792452824,0.16981132075471697,0.29245283018867924,0.25471698113207547,0.18234222690109858,recover,recovery_maneuver,1
145,0.3287981647271868,0.5086112744530574,0.520281580368138,0.479718419631862,0.6001426015149242,0.5828284964332135,0.1988782172407155,0.607774697509663,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.19282442042384212,recover,recovery_maneuver,1
146,0.26846974474962293,0.5057042614470976,0.5201622031735963,0.4798377968264037,0.6123875077353199,0.6354633323018203,0.221061259998925,0.602053169900922,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.18053651067298704,recover,recovery_maneuver,1
147,0.2572011448833749,0.5269154767169978,0.5526878400999637,0.44731215990003625,0.6128508070426141,0.6201621936391801,0.21654561065463548,0.6752951241363745,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.17277256933191526,recover,recovery_maneuver,1
148,0.2948215053097642,0.5038051019106116,0.567141493293852,0.432858506706148,0.6195513550453063,0.6182252645437977,0.21232521881884606,0.6235622372511791,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.17846614305913502,recover,recovery_maneuver,1
149,0.28155744346668576,0.4698465280200805,0.601908274426884,0.398091725573116,0.647535700171225,0.6800713836688645,0.20964251008054868,0.6560735388789493,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.1656281614057052,recover,recovery_maneuver,1
150,0.27360661643911977,0.4575926325295616,0.5398491541990982,0.4601508458009018,0.6054766409096541,0.6253489318831057,0.17945256560863818,0.6434535882930245,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.17520629695286385,recover,recovery_maneuver,1
151,0.2701140508515164,0.47617236751891395,0.6267326386947892,0.37326736130521077,0.5954623655481909,0.6618248967759913,0.18315250612680106,0.6433125595559542,0.28301886792452824,0.16981132075471697,0.29245283018867924,0.25471698113207547,0.16804484613424273,recover,recovery_maneuver,1
